"spellID","Name","Description"
17,"Power Word: Shield","Shields an ally for 15 sec, absorbing 40,345 damage, and preventing damage from delaying spellcasting."
53,"Backstab","Stab the target, causing 77,177 Physical damage. Damage increased by 30% when you are behind your target.



Awards 1 combo point."
66,"Invisibility","Turns you invisible over 3 sec, reducing threat each second. While invisible, you are untargetable by enemies. Lasts 20 sec. Taking any action cancels the effect."
100,"Charge","Charge to an enemy, rooting it for 1.5 sec.



Generates 20 Rage."
101,"Trip","Trips the enemy humanoid, causing 12 damage and knocking the opponent down for 3 sec.  Awards 1 combo point."
113,"Chains of Ice","Forms icy chains around the enemy, locking the target in place for 6 sec."
116,"Frostbolt","Launches a bolt of frost at the enemy, causing 12,472 Frost damage and slowing movement speed by 30% for 15 sec."
118,"Polymorph","Transforms the enemy into a sheep, wandering around incapacitated for 50 sec. While affected, the victim cannot take actions but will regenerate health very quickly. Damage will cancel the effect. Limit 1.



Only works on Beasts, Humanoids and Critters."
120,"Cone of Cold","Targets in a cone in front of you take 2,099 Frost damage and have movement slowed by 70% for 5 sec."
122,"Frost Nova","Blasts enemies within 12 yds of you for 1,315 Frost damage and freezes them in place for 8 sec. Damage may interrupt the freeze effect."
126,"Eye of Kilrogg","Summons an Eye of Kilrogg and binds your vision to it. The eye is stealthed and moves quickly but is very fragile."
130,"Slow Fall","Slows a group member's falling speed for 30 sec."
133,"Fireball","Throws a fiery ball that causes 12,838 Fire damage."
139,"Renew","Fill the target with faith in the light, healing them instantly for 4,036 and then 20,948 over 15 sec."
172,"Corruption","Corrupts the target, causing 15,990 Shadow damage over 14 sec."
228,"Polymorph: Chicken","Transforms the enemy into a chicken that cannot cast, and does 66% less damage for up to 10 sec."
246,"Slow","Slows the enemy's movement by 35% and their attack speed by 35% for 6 sec."
339,"Entangling Roots","Roots the target in place for 30 sec.  Damage may cancel the effect."
348,"Immolate","Burns the enemy, causing 8,804 Fire damage immediately and an additional 29,703 Fire damage over 18 sec.



15% chance to generate 1 Soul Shard. Chance doubled on critical strikes."
370,"Purge","Purges the enemy target, removing 1 beneficial Magic effect."
408,"Kidney Shot","Finishing move that stuns the target.  Lasts longer per combo point:

   1 point  : 2 seconds

   2 points: 3 seconds

   3 points: 4 seconds

   4 points: 5 seconds

   5 points: 6 seconds"
421,"Chain Lightning","Hurls a lightning bolt at the enemy, dealing 13,205 Nature damage and then jumping to additional nearby enemies. Affects 3 total targets."
467,"Thorns","Thorns sprout from the friendly target causing 1,009 Nature damage to attackers when hit.  Lasts 20 sec."
498,"Divine Protection","Reduces all damage you take by 20% for 8 sec."
527,"Purify","Dispels harmful effects on the target, removing all Magic and Disease effects."
528,"Dispel Magic","Dispels Magic on the enemy target, removing 1 beneficial Magic effect."
550,"Nullify Poison","Target is immune to poison for 30 sec and is cured of any existing poisons."
585,"Smite","Smites an enemy for 16,505 Holy damage."
589,"Shadow Word: Pain","A word of darkness that causes 3,302 Shadow damage instantly, and an additional 23,989 Shadow damage over 14 sec."
596,"Prayer of Healing","A powerful prayer that heals up to 5 injured allies within 20 yds of the target for 14,671."
603,"Doom","Inflicts impending doom upon the target, causing 38,072 Shadow damage after 19.3 sec.



Doom damage generates 1 Soul Shard."
605,"Mind Control","Controls a mind up to 1 level above yours for 30 sec. Does not work versus Demonic, Mechanical, or Undead beings. Shares diminishing returns with other disorienting effects."
606,"Mind Rot","Drains 2,610 mana from the target over 30 sec."
686,"Shadow Bolt","Sends a shadowy bolt at the enemy, causing 5,870 Shadow damage.



Generates 1 Soul Shard."
688,"Summon Imp","Summons an Imp under your command that casts ranged Firebolts."
689,"Drain Life","Drains life from the target, causing 13,719 Shadow damage over 5.8 sec, and healing you for 600% of the damage done."
691,"Summon Felhunter","Summons a Felhunter under your command, able to disrupt the spell casts of your enemies."
693,"Create Soulstone","Creates a Soulstone. When cast on live targets, the soul of the target is stored and they will be able to resurrect upon death. If cast on a dead target, they are instantly resurrected. Targets resurrect with 30% health and 30% mana.



Conjured items disappear if logged out for more than 15 minutes."
697,"Summon Voidwalker","Summons a Voidwalker under your command, able to withstand heavy punishment."
698,"Ritual of Summoning","Begins a ritual to create a summoning portal, requiring the caster and 2 allies to complete. This portal can be used to summon party and raid members."
700,"Sleep","Puts the enemy target to sleep for up to 20 sec.  Any damage caused will awaken the target.  Only one target can be asleep at a time. Unreliable on targets above level 30."
703,"Garrote","Garrote the enemy, causing 165,303 Bleed damage over 18 sec. Silences the target for 3 sec when used from Stealth.



Awards 1 combo point."
710,"Banish","Banishes an enemy Demon, Aberration, or Elemental, preventing any action for 30 sec. Limit 1. Casting Banish again on the target will cancel the effect."
712,"Summon Succubus","Summons a Succubus under your command to seduce enemy Humanoids, preventing them from attacking."
740,"Tranquility","Heals all allies within 40 yards for 66,020 over 7.7 sec. Healing increased by 100% when not in a raid."
772,"Rend","Wounds the target, causing 110,200 Bleed damage over 15 sec."
774,"Rejuvenation","Heals the target for 27,243 over 15 sec."
785,"True Fulfillment","Converted by the powers of the Prophet Skeram, the target is converted and filled with divine power. While converted, the target's spells are cast instantly, damage is increased by 300%, all resistances increased by 50 and movement speed is increased by 40%. Lasts 20 sec."
845,"Cleave","Strikes all enemies in front of you with a sweeping attack for 18,767 Physical damage. For each target up to 5 hit, your next Whirlwind deals 20% more damage."
851,"Polymorph: Sheep","Transforms the enemy into a helpless sheep that cannot cast spells or attack and movement speed is reduced by 60% for up to 10 sec."
853,"Hammer of Justice","Stuns the target for 6 sec."
980,"Agony","Inflicts increasing agony on the target, causing up to 24,753 Shadow damage over 18 sec. Damage starts low and increases over the duration. Refreshing Agony maintains its current damage level.



Agony damage sometimes generates 1 Soul Shard."
982,"Revive Pet","Revives your pet, returning it to life with 100% of its base health."
1022,"Blessing of Protection","Places a blessing on a party or raid member, protecting them from all physical attacks for 10 sec. Cannot be used on a target with Forbearance.  Causes Forbearance for 30 sec."
1044,"Blessing of Freedom","Places a blessing on a party or raid member, granting immunity to movement impairing effects for 8 sec."
1064,"Chain Heal","Heals the friendly target for 29,344, then jumps to heal the most injured nearby party or raid members. Healing is reduced by 30% after each jump. Heals 4 total targets."
1079,"Rip","Finishing move that causes Bleed damage over 24 sec.  Damage increases per combo point:



   1 point : 34,283 damage

   2 points: 68,566 damage

   3 points: 102,849 damage

   4 points: 137,133 damage

   5 points: 171,416 damage"
1098,"Enslave Demon","Enslaves the target demon up to level 111, forcing it to do your bidding for 5 min."
1122,"Summon Infernal","Summons an Infernal from the Twisting Nether, impacting for 3,667 Fire damage and stunning all enemy targets in the area for 2 sec. The Infernal will serve you for 25 sec, dealing strong area-of-effect damage."
1329,"Mutilate","Attack with both weapons, dealing a total of 96,079 Physical damage.



Awards 2 combo points."
1449,"Arcane Explosion","Causes an explosion of magic around the caster, dealing 5,503 Arcane damage to all enemies within 10 yards.



Damage increased by 60% per Arcane Charge.



Mana cost increased by 100% per Arcane Charge.



Generates 1 Arcane Charge if any targets are hit."
1454,"Life Tap","Restores 30% of your maximum mana, at the cost of 10% of your maximum health."
1464,"Slam","Slams an opponent, causing 35,453 Physical damage."
1535,"Fire Nova","Ignites your Flame Shock spell on up to 6 nearby enemies, causing each of them to emit a wave of flames that deals 3,526 Fire damage to every other enemy within 10 yards."
1680,"Whirlwind","Unleashes a whirlwind of steel, striking all enemies within 8 yards for 45,041 Physical damage."
1706,"Levitate","Levitates a party or raid member for 10 min, floating a few feet above the ground, granting slow fall, and allowing travel over water."
1715,"Hamstring","Maims the enemy for 1,042 Physical damage, reducing movement speed by 50% for 15 sec."
1719,"Battle Cry","Lets loose a battle cry, granting 100% increased critical strike chance for 5 sec."
1725,"Distract","Throws a distraction, attracting the attention of all nearby monsters for 10 seconds. Usable while stealthed."
1776,"Gouge","Gouges the eyes of an enemy target, incapacitating for 4 sec. Damage will interrupt the effect.



Awards 1 combo point."
1784,"Stealth","Conceals you in the shadows until cancelled, allowing you to stalk enemies without being seen."
1822,"Rake","Rake the target for 16,327 Bleed damage and an additional 81,635 Bleed damage over 15 sec. 



While stealthed, Rake will also stun the target for 4 sec, and deal 100% increased damage.



Awards 1 combo point."
1833,"Cheap Shot","Stuns the target for 4 sec.



Awards 2 combo points."
1943,"Rupture","Finishing move that tears open the target, dealing Bleed damage over time. Lasts longer per combo point.



   1 point  : 22,451 over 8 sec

   2 points: 67,354 over 12 sec

   3 points: 134,708 over 16 sec

   4 points: 224,514 over 20 sec

   5 points: 336,771 over 24 sec"
1953,"Blink","Teleports you forward 20 yds or until reaching an obstacle, and frees you from all stuns and bonds."
1966,"Feint","Performs an evasive maneuver, reducing damage taken from area-of-effect attacks by 50% for 5 sec."
2006,"Resurrection","Brings a dead ally back to life with 35% health and mana. Cannot be cast when in combat."
2008,"Ancestral Spirit","Returns the spirit to the body, restoring a dead target to life with 35% of maximum health and mana. Cannot be cast when in combat."
2050,"Holy Word: Serenity","Perform a miracle, healing an ally for 146,713."
2060,"Heal","A slow but efficient spell that heals an ally for 34,845."
2061,"Flash Heal","A fast but expensive spell that heals an ally for 34,845."
2096,"Mind Vision","Allows the caster to see through the target's eyes for 1 min. Will not work if the target is in another instance or on another continent."
2098,"Run Through","Lunging finishing move that causes damage per combo point and has increased range:

   1 point  : 24,488 damage

   2 points: 48,976 damage

   3 points: 73,464 damage

   4 points: 97,952 damage

   5 points: 122,440 damage"
2120,"Flamestrike","Calls down a pillar of fire, burning all enemies within the area for 13,205 Fire damage and reducing their movement speed by 50% for 8 sec."
2139,"Counterspell","Counters the enemy's spellcast, preventing any spell from that school of magic from being cast for 6 sec."
2565,"Shield Block","Raise your shield, blocking every melee attack against you for 6 sec. These blocks can be critical blocks. Increases Shield Slam damage by 30% while active."
2606,"Shock","Instantly throws a bolt of lightning at the target, dealing Nature damage."
2643,"Multi-Shot","Fires several missiles, hitting your current target and all enemies within 8 yards for 14,292 Physical damage



Generates 2 Focus per target hit."
2649,"Growl","Your pet growls at the target, generating threat, taunting the target to attack the pet, and increasing threat that your pet generates against the target for 3 sec."
2782,"Remove Corruption","Nullifies corrupting effects on the friendly target, removing all Curse and Poison effects."
2871,"Nullify Disease","Target is immune to disease for 30 sec and is cured of any existing diseases."
2948,"Scorch","Scorches an enemy for 3,669 Fire damage. Castable while moving."
3108,"Touch of Death","Drains health from an enemy, healing the caster for up to half that amount."
3109,"Presence of Death","Utterly terrifies all enemies in a selected area, rendering them unable to move or attack for 2 sec."
3110,"Firebolt","Deals 6,016 Fire damage to a target.



(Right-Click to toggle)"
3443,"Enchanted Quickness","Increases the caster's attack speed by 35% for 15 sec."
3561,"Teleport: Stormwind","Teleports you to Stormwind."
3562,"Teleport: Ironforge","Teleports you to Ironforge."
3563,"Teleport: Undercity","Teleports you to Undercity."
3565,"Teleport: Darnassus","Teleports you to Darnassus."
3566,"Teleport: Thunder Bluff","Teleports you to Thunder Bluff."
3567,"Teleport: Orgrimmar","Teleports you to Orgrimmar."
3652,"Summon Spirit of Old","Summons 1 Spirit of Old to aid the caster in battle for 10 sec."
